source_document,page,feature
h6-xp-dome-camera-datasheet.pdf,1,Datasheet 4MP 8MP
h6-xp-dome-camera-datasheet.pdf,1,H6XP Dome Camera
h6-xp-dome-camera-datasheet.pdf,1,Flexibility And Compliance At Your Fingertips
h6-xp-dome-camera-datasheet.pdf,1,"CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith"
h6-xp-dome-camera-datasheet.pdf,1,"less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,"
h6-xp-dome-camera-datasheet.pdf,1,makingthecameramorepowerfulandreducingownershipcosts.
h6-xp-dome-camera-datasheet.pdf,1,Z-Wavecompatible AI-poweredvideoanalytics
h6-xp-dome-camera-datasheet.pdf,1,ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual
h6-xp-dome-camera-datasheet.pdf,1,andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore
h6-xp-dome-camera-datasheet.pdf,1,"intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks."
h6-xp-dome-camera-datasheet.pdf,1,costs.
h6-xp-dome-camera-datasheet.pdf,1,Audioanalytics&recording Dynamicprivacymasking
h6-xp-dome-camera-datasheet.pdf,1,"Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand"
h6-xp-dome-camera-datasheet.pdf,1,"glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor"
h6-xp-dome-camera-datasheet.pdf,1,triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.
h6-xp-dome-camera-datasheet.pdf,1,Low-lightclarity
h6-xp-dome-camera-datasheet.pdf,1,Secure&Compliant
h6-xp-dome-camera-datasheet.pdf,1,CaptureclearimagesevenintotaldarknesswithourIR
h6-xp-dome-camera-datasheet.pdf,1,Trustthatyourdataiswell-protectedwithadvanced
h6-xp-dome-camera-datasheet.pdf,1,"cameras.Bothcameraformsofferlow-lightvisibility,"
h6-xp-dome-camera-datasheet.pdf,1,cybersecurityfeaturessuchasanonboardFIPS140-2level3
h6-xp-dome-camera-datasheet.pdf,1,minimizingmaintenancewhileensuringconsistent
