feature,source_strategy,source_kind
The product provides datasheet.,text_extraction_agent,raw_text
The product provides aXISM3905-RDomeCamera.,text_extraction_agent,raw_text
The product provides aXIS M3905-R Dome Camera.,text_extraction_agent,raw_text
The product provides for indoor surveillance onboard buses.,text_extraction_agent,raw_text
The product provides this compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,text_extraction_agent,raw_text
"The product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.",text_extraction_agent,raw_text
The product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,text_extraction_agent,raw_text
"The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.",text_extraction_agent,raw_text
The product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,text_extraction_agent,raw_text
The product provides purposes.,text_extraction_agent,raw_text
"The product provides > Compact,ruggeddesign.",text_extraction_agent,raw_text
The product provides > Indoorcamera.,text_extraction_agent,raw_text
The product provides > 88°Horizontalfieldofview.,text_extraction_agent,raw_text
The product provides > LightfinderandForensicWDR.,text_extraction_agent,raw_text
The product provides > TrafficLightmode.,text_extraction_agent,raw_text
The product provides aXIS M3905-R Dome Camera.,text_extraction_agent,raw_text
The product provides variants.,text_extraction_agent,raw_text
The product provides video.,text_extraction_agent,raw_text
The product provides aXISM3905-RRJ453.6mm.,text_extraction_agent,raw_text
The product provides aXISM3905-RM123.6mm.,text_extraction_agent,raw_text
The product provides aXISM3905-RRJ452.8mm Videocompression.,text_extraction_agent,raw_text
The product provides aXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles.,text_extraction_agent,raw_text
The product provides h.265(MPEG-HPart2/HEVC)MainProfile.,text_extraction_agent,raw_text
The product provides camera MotionJPEG.,text_extraction_agent,raw_text
The product provides imagesensor Resolution.,text_extraction_agent,raw_text
The product provides 1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360.,text_extraction_agent,raw_text
