feature,source_strategy,source_kind
The product provides dome Series.,text_extraction_agent,raw_text
The product provides cD22 Indoor Dome Camera.,text_extraction_agent,raw_text
The product provides essential 3MP Coverage for.,text_extraction_agent,raw_text
The product provides monitoring Indoor Environments.,text_extraction_agent,raw_text
The product provides overview.,text_extraction_agent,raw_text
The product provides the CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS.,text_extraction_agent,raw_text
"The product provides image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and.",text_extraction_agent,raw_text
The product provides scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of.,text_extraction_agent,raw_text
The product provides people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental.,text_extraction_agent,raw_text
The product provides visibility is necessary.,text_extraction_agent,raw_text
"The product provides the CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",text_extraction_agent,raw_text
"The product provides also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status.",text_extraction_agent,raw_text
The product provides indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,text_extraction_agent,raw_text
The product provides additional hardware.,text_extraction_agent,raw_text
The product provides key features.,text_extraction_agent,raw_text
The product provides clear image quality Hybrid cloud architecture.,text_extraction_agent,raw_text
The product provides • 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced.,text_extraction_agent,raw_text
The product provides • 3MP resolution bandwidth consumption and coverage at scale.,text_extraction_agent,raw_text
The product provides • 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage.,text_extraction_agent,raw_text
The product provides • Redundant cloud backup and unlimited cloud-based.,text_extraction_agent,raw_text
The product provides archiving of footage.,text_extraction_agent,raw_text
The product provides essential detection Easy installation.,text_extraction_agent,raw_text
The product provides • Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included.,text_extraction_agent,raw_text
The product provides and vehicle detection • LED light status indicator.,text_extraction_agent,raw_text
The product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,text_extraction_agent,raw_text
The product provides dome Series.,text_extraction_agent,raw_text
The product provides cD22.,text_extraction_agent,raw_text
The product provides tech Specs.,text_extraction_agent,raw_text
The product provides camera features.,text_extraction_agent,raw_text
"The product provides image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.",text_extraction_agent,raw_text
The product provides sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function.,text_extraction_agent,raw_text
The product provides lens Type Fixed IR Cut Filter Yes.,text_extraction_agent,raw_text
The product provides focal Length 2.8mm IR Range 10m / 33ft.,text_extraction_agent,raw_text
The product provides 0.009 lux @ F1.9 (Color).,text_extraction_agent,raw_text
The product provides aperture F1.6 Minimum Illumination.,text_extraction_agent,raw_text
The product provides 0 lux with IR Illuminators on.,text_extraction_agent,raw_text
The product provides capacity: From 256GB to 768GB.,text_extraction_agent,raw_text
The product provides iris Fixed Onboard Storage.,text_extraction_agent,raw_text
"The product provides card: MicroSD, SDXC.",text_extraction_agent,raw_text
The product provides horizontal: 97° (78°).,text_extraction_agent,raw_text
The product provides field of View (after LDC2) Vertical: 71° (63°) CPU Ambarella CV25S88.,text_extraction_agent,raw_text
The product provides diagonal: 128° (91°).,text_extraction_agent,raw_text
The product provides tilt: 60°.,text_extraction_agent,raw_text
The product provides sensor Movement Pan: 355°.,text_extraction_agent,raw_text
The product provides rotation: 180°.,text_extraction_agent,raw_text
The product provides standard video settings.,text_extraction_agent,raw_text
"The product provides compression H.265, H.264 Historical Video Settings Adaptive quality1.",text_extraction_agent,raw_text
"The product provides high quality (HQ): Up to 3,000 Kbps (default).",text_extraction_agent,raw_text
The product provides frame Rate3 24fps Live Streaming Settings.,text_extraction_agent,raw_text
The product provides standard quality (SQ): Up to 600 Kbps.,text_extraction_agent,raw_text
The product provides standard audio settings.,text_extraction_agent,raw_text
The product provides audio Not Supported.,text_extraction_agent,raw_text
The product provides power and network.,text_extraction_agent,raw_text
The product provides with IR: IEEE 802.3af Type 1 PoE.,text_extraction_agent,raw_text
The product provides rJ-45 cable connector for network/PoE.,text_extraction_agent,raw_text
The product provides power Input4 Without IR: IEEE 802.3af Type 1 PoE Connectivity.,text_extraction_agent,raw_text
The product provides connection; 10 / 100 Mbps.,text_extraction_agent,raw_text
The product provides extended temperature range: N/A.,text_extraction_agent,raw_text
