page,feature,source_kind
1,Dome Series,text
1,CD22 Indoor Dome Camera,text
1,Essential 3MP Coverage for,text
1,Monitoring Indoor Environments,text
1,Overview,text
1,The CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS,text
1,"image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and",text
1,scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of,text
1,people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental,text
1,visibility is necessary.,text
1,"The CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while",text
1,"also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status",text
1,indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any,text
1,additional hardware.,text
1,Key features,text
1,Clear image quality Hybrid cloud architecture,text
1,• 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced,text
1,• 3MP resolution bandwidth consumption and coverage at scale,text
1,• 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage,text
1,• Redundant cloud backup and unlimited cloud-based,text
1,archiving of footage,text
1,Essential detection Easy installation,text
1,• Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included,text
1,and vehicle detection • LED light status indicator,text
1,wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11,text
2,Dome Series,text
2,CD22,text
2,Tech Specs,text
2,Camera features,text
2,"Image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.",text
2,Sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function,text
2,Lens Type Fixed IR Cut Filter Yes,text
2,Focal Length 2.8mm IR Range 10m / 33ft,text
2,0.009 lux @ F1.9 (Color),text
2,Aperture F1.6 Minimum Illumination,text
2,0 lux with IR Illuminators on,text
2,Capacity: From 256GB to 768GB,text
2,Iris Fixed Onboard Storage,text
2,"Card: MicroSD, SDXC",text
2,Horizontal: 97° (78°),text
2,Field of View (after LDC2) Vertical: 71° (63°) CPU Ambarella CV25S88,text
2,Diagonal: 128° (91°),text
2,Tilt: 60°,text
2,Sensor Movement Pan: 355°,text
2,Rotation: 180°,text
2,Standard video settings,text
2,"Compression H.265, H.264 Historical Video Settings Adaptive quality1",text
2,"High quality (HQ): Up to 3,000 Kbps (default)",text
2,Frame Rate3 24fps Live Streaming Settings,text
2,Standard quality (SQ): Up to 600 Kbps,text
2,Standard audio settings,text
2,Audio Not Supported,text
2,Power and network,text
2,With IR: IEEE 802.3af Type 1 PoE,text
2,RJ-45 cable connector for network/PoE,text
2,Power Input4 Without IR: IEEE 802.3af Type 1 PoE Connectivity,text
2,connection; 10 / 100 Mbps,text
2,Extended temperature range: N/A,text
2,RTSP 1.0,text
2,"With IR: 37-57V, 0.23-0.15A, 8.6W",text
2,RFC 2326,text
2,"Power Consumption4 Without IR: 37-57V, 0.11-0.07A, 4.3W RTSP",text
2,Max concurrent streams: 2,text
2,Extended temperature range: N/A,text
2,Audio support: No,text
2,"1. All our cameras record in ""adaptive quality,"" capturing both standard (SQ) and high quality (HQ) streams. SQ video is stored up to the amount of retention specifi ed by",text
2,"the customer. The amount of HQ video stored on the camera will depend on the amount of motion detected by the camera over time. To learn more, visit our website:",text
2,https://docs.verkada.com/docs/adaptive-quality-recording-whitepaper.pdf,text
