feature,source_strategy,source_kind
The product provides datasheet 4MP 8MP.,text_extraction_agent,raw_text
The product provides h6XP Dome Camera.,text_extraction_agent,raw_text
The product provides flexibility And Compliance At Your Fingertips.,text_extraction_agent,raw_text
"The product provides combinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.",text_extraction_agent,raw_text
"The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.",text_extraction_agent,raw_text
The product provides makingthecameramorepowerfulandreducingownershipcosts.,text_extraction_agent,raw_text
The product provides z-Wavecompatible AI-poweredvideoanalytics.,text_extraction_agent,raw_text
The product provides connectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,text_extraction_agent,raw_text
The product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,text_extraction_agent,raw_text
"The product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",text_extraction_agent,raw_text
The product provides costs.,text_extraction_agent,raw_text
The product provides audioanalytics&recording Dynamicprivacymasking.,text_extraction_agent,raw_text
"The product provides stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.",text_extraction_agent,raw_text
"The product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",text_extraction_agent,raw_text
The product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,text_extraction_agent,raw_text
The product provides low-lightclarity.,text_extraction_agent,raw_text
The product provides secure&Compliant.,text_extraction_agent,raw_text
The product provides captureclearimagesevenintotaldarknesswithourIR.,text_extraction_agent,raw_text
The product provides trustthatyourdataiswell-protectedwithadvanced.,text_extraction_agent,raw_text
"The product provides cameras.Bothcameraformsofferlow-lightvisibility,.",text_extraction_agent,raw_text
The product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,text_extraction_agent,raw_text
The product provides minimizingmaintenancewhileensuringconsistent.,text_extraction_agent,raw_text
The product provides compliantTPMandSecureBoot.,text_extraction_agent,raw_text
The product provides performanceinallconditions.,text_extraction_agent,raw_text
The product provides 1Separatelicenserequired.,text_extraction_agent,raw_text
"The product provides formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",text_extraction_agent,raw_text
The product provides https://www.avigilon.com/security-cameras/h6x-dome.,text_extraction_agent,raw_text
The product provides specifications.,text_extraction_agent,raw_text
The product provides iMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,text_extraction_agent,raw_text
The product provides imageSensor 1/1.8”progressivescanCMOS.,text_extraction_agent,raw_text
"The product provides maxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",text_extraction_agent,raw_text
"The product provides (HxV)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.",text_extraction_agent,raw_text
The product provides aspectRatio.,text_extraction_agent,raw_text
"The product provides secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.",text_extraction_agent,raw_text
"The product provides 432,640x360,512x288 768x432,640x360,512x288.",text_extraction_agent,raw_text
"The product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",text_extraction_agent,raw_text
"The product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.",text_extraction_agent,raw_text
"The product provides tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.",text_extraction_agent,raw_text
"The product provides 384x216 288,384x216.",text_extraction_agent,raw_text
"The product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",text_extraction_agent,raw_text
"The product provides 368x264 x480,512x384,384x288,368x264.",text_extraction_agent,raw_text
The product provides dynamicRange WDROff Upto83dB.,text_extraction_agent,raw_text
"The product provides wDROn Upto106dB(dualexposure,30fps)Upto136dB Upto130dB(dualexposure,30fps).",text_extraction_agent,raw_text
"The product provides (IEC62676) (tripleexposure,20fpsorless).",text_extraction_agent,raw_text
"The product provides wDROn Upto120dB(dualexposure,30fps)Upto144dB Upto144dB(dualexposure,20fpsorless).",text_extraction_agent,raw_text
"The product provides (tripleexposure,20fpsorless).",text_extraction_agent,raw_text
The product provides maxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,text_extraction_agent,raw_text
"The product provides mode1,otherwise25fps/30fps.",text_extraction_agent,raw_text
The product provides bandwidthManagement HDSMSmartCodectechnology;Idlescenemode.,text_extraction_agent,raw_text
The product provides signal-to-NoiseRatio(SNR) >50d.,text_extraction_agent,raw_text
