feature,source_strategy,source_kind,normalized_feature
The product provides nan.,table_extraction_agent,raw_table,the product provides nan.
The product provides dome Series.,text_extraction_agent,raw_text,the product provides dome series.
The product provides cD22 Indoor Dome Camera.,text_extraction_agent,raw_text,the product provides cd22 indoor dome camera.
The product provides essential 3MP Coverage for.,text_extraction_agent,raw_text,the product provides essential 3mp coverage for.
The product provides monitoring Indoor Environments.,text_extraction_agent,raw_text,the product provides monitoring indoor environments.
The product provides overview.,text_extraction_agent,raw_text,the product provides overview.
The product provides the CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS.,text_extraction_agent,raw_text,the product provides the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos.
"The product provides image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and.",text_extraction_agent,raw_text,"the product provides image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and."
The product provides scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of.,text_extraction_agent,raw_text,the product provides scalable deployments. the cd22 includes an onboard cv25s ambarella processor to detect and alert on the presence of.
The product provides people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental.,text_extraction_agent,raw_text,the product provides people and vehicles. the cd22 is optimized for covering spaces like storage closets and store aisles where supplemental.
The product provides visibility is necessary.,text_extraction_agent,raw_text,the product provides visibility is necessary.
"The product provides the CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",text_extraction_agent,raw_text,"the product provides the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while."
"The product provides also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status.",text_extraction_agent,raw_text,"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status."
The product provides indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,text_extraction_agent,raw_text,the product provides indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.
The product provides additional hardware.,text_extraction_agent,raw_text,the product provides additional hardware.
The product provides key features.,text_extraction_agent,raw_text,the product provides key features.
The product provides clear image quality Hybrid cloud architecture.,text_extraction_agent,raw_text,the product provides clear image quality hybrid cloud architecture.
The product provides • 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced.,text_extraction_agent,raw_text,the product provides • 1 / 2.8” progressive cmos image sensor • onboard storage and processing for reduced.
The product provides • 3MP resolution bandwidth consumption and coverage at scale.,text_extraction_agent,raw_text,the product provides • 3mp resolution bandwidth consumption and coverage at scale.
The product provides • 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage.,text_extraction_agent,raw_text,the product provides • 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage.
The product provides • Redundant cloud backup and unlimited cloud-based.,text_extraction_agent,raw_text,the product provides • redundant cloud backup and unlimited cloud-based.
The product provides archiving of footage.,text_extraction_agent,raw_text,the product provides archiving of footage.
The product provides essential detection Easy installation.,text_extraction_agent,raw_text,the product provides essential detection easy installation.
The product provides • Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included.,text_extraction_agent,raw_text,the product provides • onboard cv25s ambarella processor enables people • mounting plate and screw pack included.
The product provides and vehicle detection • LED light status indicator.,text_extraction_agent,raw_text,the product provides and vehicle detection • led light status indicator.
The product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,text_extraction_agent,raw_text,the product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.
The product provides cD22.,text_extraction_agent,raw_text,the product provides cd22.
The product provides tech Specs.,text_extraction_agent,raw_text,the product provides tech specs.
The product provides camera features.,text_extraction_agent,raw_text,the product provides camera features.
"The product provides image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.",text_extraction_agent,raw_text,"the product provides image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec."
The product provides sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function.,text_extraction_agent,raw_text,the product provides sensor resolution1 3mp (2048 x 1536) day/night ir-cut fi lter for day and night function.
The product provides lens Type Fixed IR Cut Filter Yes.,text_extraction_agent,raw_text,the product provides lens type fixed ir cut filter yes.
The product provides focal Length 2.8mm IR Range 10m / 33ft.,text_extraction_agent,raw_text,the product provides focal length 2.8mm ir range 10m / 33ft.
The product provides 0.009 lux @ F1.9 (Color).,text_extraction_agent,raw_text,the product provides 0.009 lux @ f1.9 (color).
The product provides aperture F1.6 Minimum Illumination.,text_extraction_agent,raw_text,the product provides aperture f1.6 minimum illumination.
The product provides 0 lux with IR Illuminators on.,text_extraction_agent,raw_text,the product provides 0 lux with ir illuminators on.
The product provides capacity: From 256GB to 768GB.,text_extraction_agent,raw_text,the product provides capacity: from 256gb to 768gb.
The product provides iris Fixed Onboard Storage.,text_extraction_agent,raw_text,the product provides iris fixed onboard storage.
"The product provides card: MicroSD, SDXC.",text_extraction_agent,raw_text,"the product provides card: microsd, sdxc."
The product provides horizontal: 97° (78°).,text_extraction_agent,raw_text,the product provides horizontal: 97° (78°).
The product provides field of View (after LDC2) Vertical: 71° (63°) CPU Ambarella CV25S88.,text_extraction_agent,raw_text,the product provides field of view (after ldc2) vertical: 71° (63°) cpu ambarella cv25s88.
The product provides diagonal: 128° (91°).,text_extraction_agent,raw_text,the product provides diagonal: 128° (91°).
The product provides tilt: 60°.,text_extraction_agent,raw_text,the product provides tilt: 60°.
The product provides sensor Movement Pan: 355°.,text_extraction_agent,raw_text,the product provides sensor movement pan: 355°.
