feature,source_strategy,source_kind,normalized_feature
The product provides the product provides 4MP 8MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp 8mp.
The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,table_extraction_agent,raw_table,the product provides the product provides 4.0mp 8.0mp(4kultrahd).
The product provides the product provides Primary.,table_extraction_agent,raw_table,the product provides the product provides primary.
The product provides the product provides Secondary.,table_extraction_agent,raw_table,the product provides the product provides secondary.
The product provides the product provides Tertiary.,table_extraction_agent,raw_table,the product provides the product provides tertiary.
The product provides the product provides WDROff.,table_extraction_agent,raw_table,the product provides the product provides wdroff.
The product provides the product provides WDROn (IEC62676).,table_extraction_agent,raw_table,the product provides the product provides wdron (iec62676).
The product provides the product provides WDROn.,table_extraction_agent,raw_table,the product provides the product provides wdron.
The product provides the product provides 4.4-9.3MM 10.9-29MM.,table_extraction_agent,raw_table,the product provides the product provides 4.4-9.3mm 10.9-29mm.
The product provides the product provides 4MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp.
The product provides the product provides 8MP.,table_extraction_agent,raw_table,the product provides the product provides 8mp.
The product provides the product provides 4MP&8 MP.,table_extraction_agent,raw_table,the product provides the product provides 4mp&8 mp.
The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,table_extraction_agent,raw_table,the product provides the product provides surfacemount in-ceilingmount pendantmount.
The product provides the product provides Indoor Dome.,table_extraction_agent,raw_table,the product provides the product provides indoor dome.
The product provides the product provides Outdoor Dome.,table_extraction_agent,raw_table,the product provides the product provides outdoor dome.
The product provides the product provides PoE.,table_extraction_agent,raw_table,the product provides the product provides poe.
The product provides the product provides PoE+.,table_extraction_agent,raw_table,the product provides the product provides poe+.
The product provides the product provides INDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table,the product provides the product provides indoordome outdoordome.
The product provides the product provides With External Poweror PoE+.,table_extraction_agent,raw_table,the product provides the product provides with external poweror poe+.
The product provides the product provides [X.XX] INCHES.,table_extraction_agent,raw_table,the product provides the product provides [x.xx] inches.
The product provides the product provides X.X MM.,table_extraction_agent,raw_table,the product provides the product provides x.x mm.
The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,table_extraction_agent,raw_table,the product provides the product provides mp wdr lightcatcher technology lens ir analytics hdsm smartcodec microphone.
The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
The product provides the product provides 4.4-9.3 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 4.4-9.3 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
The product provides the product provides 10.9-29 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table,the product provides the product provides 10.9-29 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
The product provides the product provides Datasheet 4MP 8MP.,text_extraction_agent,raw_text,the product provides the product provides datasheet 4mp 8mp.
The product provides the product provides H6XP Dome Camera.,text_extraction_agent,raw_text,the product provides the product provides h6xp dome camera.
The product provides the product provides Flexibility And Compliance At Your Fingertips.,text_extraction_agent,raw_text,the product provides the product provides flexibility and compliance at your fingertips.
"The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.",text_extraction_agent,raw_text,"the product provides the product provides combinemultipleusecasesintoonewiththeavigilonh6xpdomecamera,empoweringyoutodomorewith."
"The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.",text_extraction_agent,raw_text,"the product provides less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,."
The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,text_extraction_agent,raw_text,the product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.
The product provides the product provides Z-Wavecompatible AI-poweredvideoanalytics.,text_extraction_agent,raw_text,the product provides the product provides z-wavecompatible ai-poweredvideoanalytics.
The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,text_extraction_agent,raw_text,the product provides the product provides connectwithz-wavecompatibledevicestoenhancecontrol beproactivewithadvancedanalyticsthatdetectunusual.
The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,text_extraction_agent,raw_text,the product provides the product provides andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore.
"The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",text_extraction_agent,raw_text,"the product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks."
The product provides the product provides costs.,text_extraction_agent,raw_text,the product provides the product provides costs.
The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,text_extraction_agent,raw_text,the product provides the product provides audioanalytics&recording dynamicprivacymasking.
"The product provides the product provides Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.",text_extraction_agent,raw_text,"the product provides the product provides stayalertwithreal-timenotificationsforgunshots1,breaking preservepeople’sprivacybytrackingandblurringpeopleand."
"The product provides the product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",text_extraction_agent,raw_text,"the product provides the product provides glass,screamingandmore.quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor."
The product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,text_extraction_agent,raw_text,the product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.
The product provides the product provides Low-lightclarity.,text_extraction_agent,raw_text,the product provides the product provides low-lightclarity.
The product provides the product provides Secure&Compliant.,text_extraction_agent,raw_text,the product provides the product provides secure&compliant.
The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,text_extraction_agent,raw_text,the product provides the product provides captureclearimagesevenintotaldarknesswithourir.
The product provides the product provides Trustthatyourdataiswell-protectedwithadvanced.,text_extraction_agent,raw_text,the product provides the product provides trustthatyourdataiswell-protectedwithadvanced.
"The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.",text_extraction_agent,raw_text,"the product provides the product provides cameras.bothcameraformsofferlow-lightvisibility,."
The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,text_extraction_agent,raw_text,the product provides the product provides cybersecurityfeaturessuchasanonboardfips140-2level3.
The product provides the product provides minimizingmaintenancewhileensuringconsistent.,text_extraction_agent,raw_text,the product provides the product provides minimizingmaintenancewhileensuringconsistent.
The product provides the product provides compliantTPMandSecureBoot.,text_extraction_agent,raw_text,the product provides the product provides complianttpmandsecureboot.
The product provides the product provides performanceinallconditions.,text_extraction_agent,raw_text,the product provides the product provides performanceinallconditions.
The product provides the product provides 1Separatelicenserequired.,text_extraction_agent,raw_text,the product provides the product provides 1separatelicenserequired.
"The product provides the product provides Formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",text_extraction_agent,raw_text,"the product provides the product provides formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor."
The product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,text_extraction_agent,raw_text,the product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.
The product provides the product provides Specifications.,text_extraction_agent,raw_text,the product provides the product provides specifications.
