source_document,page,feature,normalized_feature
video-security-cd22-datasheet.pdf,1,Dome Series,dome series
video-security-cd22-datasheet.pdf,1,CD22 Indoor Dome Camera,cd22 indoor dome camera
video-security-cd22-datasheet.pdf,1,Essential 3MP Coverage for,essential 3mp coverage for
video-security-cd22-datasheet.pdf,1,Monitoring Indoor Environments,monitoring indoor environments
video-security-cd22-datasheet.pdf,1,Overview,overview
video-security-cd22-datasheet.pdf,1,The CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS,the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos
video-security-cd22-datasheet.pdf,1,"image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and","image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and"
video-security-cd22-datasheet.pdf,1,scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of,scalable deployments. the cd22 includes an onboard cv25s ambarella processor to detect and alert on the presence of
video-security-cd22-datasheet.pdf,1,people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental,people and vehicles. the cd22 is optimized for covering spaces like storage closets and store aisles where supplemental
video-security-cd22-datasheet.pdf,1,visibility is necessary.,visibility is necessary.
video-security-cd22-datasheet.pdf,1,"The CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while","the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while"
video-security-cd22-datasheet.pdf,1,"also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status","also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status"
video-security-cd22-datasheet.pdf,1,indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any,indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any
video-security-cd22-datasheet.pdf,1,additional hardware.,additional hardware.
video-security-cd22-datasheet.pdf,1,Key features,key features
video-security-cd22-datasheet.pdf,1,Clear image quality Hybrid cloud architecture,clear image quality hybrid cloud architecture
video-security-cd22-datasheet.pdf,1,• 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced,• 1 / 2.8” progressive cmos image sensor • onboard storage and processing for reduced
video-security-cd22-datasheet.pdf,1,• 3MP resolution bandwidth consumption and coverage at scale,• 3mp resolution bandwidth consumption and coverage at scale
video-security-cd22-datasheet.pdf,1,• 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage,• 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage
video-security-cd22-datasheet.pdf,1,• Redundant cloud backup and unlimited cloud-based,• redundant cloud backup and unlimited cloud-based
video-security-cd22-datasheet.pdf,1,archiving of footage,archiving of footage
video-security-cd22-datasheet.pdf,1,Essential detection Easy installation,essential detection easy installation
video-security-cd22-datasheet.pdf,1,• Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included,• onboard cv25s ambarella processor enables people • mounting plate and screw pack included
video-security-cd22-datasheet.pdf,1,and vehicle detection • LED light status indicator,and vehicle detection • led light status indicator
video-security-cd22-datasheet.pdf,1,wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11,wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11
video-security-cd22-datasheet.pdf,2,Dome Series,dome series
video-security-cd22-datasheet.pdf,2,CD22,cd22
video-security-cd22-datasheet.pdf,2,Tech Specs,tech specs
video-security-cd22-datasheet.pdf,2,Camera features,camera features
video-security-cd22-datasheet.pdf,2,"Image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.","image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec."
video-security-cd22-datasheet.pdf,2,Sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function,sensor resolution1 3mp (2048 x 1536) day/night ir-cut fi lter for day and night function
