source_document,page,feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,Datasheet
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,AXISM3905-RDomeCamera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,AXIS M3905-R Dome Camera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,For indoor surveillance onboard buses
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"Forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,purposes.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"> Compact,ruggeddesign"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> Indoorcamera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> 88°Horizontalfieldofview
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> LightfinderandForensicWDR
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> TrafficLightmode
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXIS M3905-R Dome Camera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Variants
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Video
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RRJ453.6mm
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RM123.6mm
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RRJ452.8mm Videocompression
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RM122.8mm H.264(MPEG-4Part10/AVC)MainandHighProfiles
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,H.265(MPEG-HPart2/HEVC)MainProfile
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Camera MotionJPEG
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Imagesensor Resolution
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,1/2.9”ProgressivescanRGBCMOS 16:9:1920x1080to640X360
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pixelsize2.8µm 16:10:1280x800to640x400
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,4:3:1280x960to320x240
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Lens
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"3.6mm,F2.0: Frame rate"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Horizontalfieldofview:88° H.264andH.265:25/30fps(50/60Hz)inallresolutions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Verticalfieldofview:47° MotionJPEG:15fps(50/60Hz)inallresolutions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimumfocusdistance:0.3m(1ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"M12mount,fixediris"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Videostreaming
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"2.8mm,F1.2:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Upto4uniqueandconfigurablevideostreams1
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Horizontalfieldofview:107°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"Multiple,individuallyconfigurablestreamsinH.264,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Verticalfieldofview:56°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,H.265andMotionJPEG
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimumfocusdistance:0.3m(1ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AxisZipstreamtechnologyinH.264andH.265
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"M12mount,fixediris"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Controllableframerateandbandwidth
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,SeeOptionalaccessoriesforexchangeablelenses
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,VBR/ABR/MBRH.264andH.265
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Videostreamingindicator
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimum illumination
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"3.6mm,F2.0:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,WDR
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.04luxat30IREF2.0
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,ForensicWDR:Upto120dBdependingonscene
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.13luxat50IREF2.0
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"2.8mm,F1.2:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.02luxat30IREF1.2 Noisereduction
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.07luxat50IREF1.2 Spatialfilter(2Dnoisereduction)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Temporalfilter(3Dnoisereduction)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Shutterspeed
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,WithWDR:1/19000sto1/5s Imagesettings
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"NoWDR:1/17000sto1/5s Compression,brightness,sharpness,contrast,white"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"balance,ForensicWDR,exposurecontrol,exposure"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"zones,finetuningofbehavioratlowlight,rotation:0°,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Camera adjustment
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"90°,180°,270°includingCorridorFormat,dynamic"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pan:±30°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"overlay,32individualpolygonalprivacymask,mirroring"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Tilt:15-90°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,ofimages
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Rotation:±175°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"Sceneprofiles:forensic,vivid,trafficoverview"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,System on chip (SoC)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Imageprocessing
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"AxisZipstream,ForensicWDR,Lightfinder"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Model
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,S6LM55
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pan/Tilt/Zoom
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"DigitalPTZ,presetpositions,guardtour,controlqueue"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Memory
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"1024MBRAM,512MBFlash"
