feature,source_strategy,source_kind
The product provides the product provides 4MP 8MP.,table_extraction_agent,raw_table
The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,table_extraction_agent,raw_table
The product provides the product provides Primary.,table_extraction_agent,raw_table
The product provides the product provides Secondary.,table_extraction_agent,raw_table
The product provides the product provides Tertiary.,table_extraction_agent,raw_table
The product provides the product provides WDROff.,table_extraction_agent,raw_table
The product provides the product provides WDROn (IEC62676).,table_extraction_agent,raw_table
The product provides the product provides WDROn.,table_extraction_agent,raw_table
The product provides the product provides 4.4-9.3MM 10.9-29MM.,table_extraction_agent,raw_table
The product provides the product provides 4MP.,table_extraction_agent,raw_table
The product provides the product provides 8MP.,table_extraction_agent,raw_table
The product provides the product provides 4MP.,table_extraction_agent,raw_table
The product provides the product provides 8MP.,table_extraction_agent,raw_table
The product provides the product provides 4MP&8 MP.,table_extraction_agent,raw_table
The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,table_extraction_agent,raw_table
The product provides the product provides Indoor Dome.,table_extraction_agent,raw_table
The product provides the product provides Outdoor Dome.,table_extraction_agent,raw_table
The product provides the product provides Indoor Dome.,table_extraction_agent,raw_table
The product provides the product provides Outdoor Dome.,table_extraction_agent,raw_table
The product provides the product provides PoE.,table_extraction_agent,raw_table
The product provides the product provides PoE+.,table_extraction_agent,raw_table
The product provides the product provides PoE.,table_extraction_agent,raw_table
The product provides the product provides PoE+.,table_extraction_agent,raw_table
The product provides the product provides INDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table
The product provides the product provides PoE.,table_extraction_agent,raw_table
The product provides the product provides With External Poweror PoE+.,table_extraction_agent,raw_table
The product provides the product provides PoE.,table_extraction_agent,raw_table
The product provides the product provides With External Poweror PoE+.,table_extraction_agent,raw_table
The product provides the product provides INDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table
The product provides the product provides [X.XX] INCHES.,table_extraction_agent,raw_table
The product provides the product provides X.X MM.,table_extraction_agent,raw_table
The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,table_extraction_agent,raw_table
The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides the product provides 4.4-9.3 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides the product provides 10.9-29 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
