capability_label,feature,source_strategy,source_kind,normalized_feature,feature_key
The product provides nan.,The product provides nan.,table_extraction_agent,raw_table,the product provides nan.,nan
The product provides dome Series.,The product provides dome Series.,text_extraction_agent,raw_text,the product provides dome series.,dome_series
The product provides cD22 Indoor Dome Camera.,The product provides cD22 Indoor Dome Camera.,text_extraction_agent,raw_text,the product provides cd22 indoor dome camera.,cd22_indoor_dome
The product provides essential 3MP Coverage for.,The product provides essential 3MP Coverage for.,text_extraction_agent,raw_text,the product provides essential 3mp coverage for.,essential_3mp_coverage
The product provides monitoring Indoor Environments.,The product provides monitoring Indoor Environments.,text_extraction_agent,raw_text,the product provides monitoring indoor environments.,monitoring_indoor_environments
The product provides overview.,The product provides overview.,text_extraction_agent,raw_text,the product provides overview.,overview
The product provides the CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS.,The product provides the CD22 dome camera provides essential 3MP coverage in a variety of indoor spaces. With its 1 / 2.8” progressive CMOS.,text_extraction_agent,raw_text,the product provides the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos.,cd22_dome_essential_3mp_coverage_variety
"The product provides image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and.","The product provides image sensor and 10 meters / 33 feet of IR range, the CD22 offers reliable visibility for organizations seeking quick and.",text_extraction_agent,raw_text,"the product provides image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and.",image_sensor_meters_feet_range_cd22
The product provides scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of.,The product provides scalable deployments. The CD22 includes an onboard CV25S Ambarella processor to detect and alert on the presence of.,text_extraction_agent,raw_text,the product provides scalable deployments. the cd22 includes an onboard cv25s ambarella processor to detect and alert on the presence of.,scalable_deployments_cd22_onboard_cv25s_ambarella
The product provides people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental.,The product provides people and vehicles. The CD22 is optimized for covering spaces like storage closets and store aisles where supplemental.,text_extraction_agent,raw_text,the product provides people and vehicles. the cd22 is optimized for covering spaces like storage closets and store aisles where supplemental.,people_vehicles_cd22_optimized_covering_spaces
The product provides visibility is necessary.,The product provides visibility is necessary.,text_extraction_agent,raw_text,the product provides visibility is necessary.,visibility_necessary
"The product provides the CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.","The product provides the CD22’s sleek design and IK08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",text_extraction_agent,raw_text,"the product provides the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",cd22s_sleek_design_ik08_impact_rating
"The product provides also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status.","The product provides also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status.",text_extraction_agent,raw_text,"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status.",also_keeping_aesthetics_topofmind_installation_simple
The product provides indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,The product provides indicator. The included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,text_extraction_agent,raw_text,the product provides indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,indicator_included_mount_plate_additionally_mounted
The product provides additional hardware.,The product provides additional hardware.,text_extraction_agent,raw_text,the product provides additional hardware.,additional_hardware
The product provides key features.,The product provides key features.,text_extraction_agent,raw_text,the product provides key features.,key_features
The product provides clear image quality Hybrid cloud architecture.,The product provides clear image quality Hybrid cloud architecture.,text_extraction_agent,raw_text,the product provides clear image quality hybrid cloud architecture.,clear_image_quality_hybrid_cloud_architecture
The product provides • 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced.,The product provides • 1 / 2.8” progressive CMOS image sensor • Onboard storage and processing for reduced.,text_extraction_agent,raw_text,the product provides • 1 / 2.8” progressive cmos image sensor • onboard storage and processing for reduced.,progressive_cmos_image_sensor_onboard_storage
The product provides • 3MP resolution bandwidth consumption and coverage at scale.,The product provides • 3MP resolution bandwidth consumption and coverage at scale.,text_extraction_agent,raw_text,the product provides • 3mp resolution bandwidth consumption and coverage at scale.,3mp_resolution_bandwidth_consumption_coverage_scale
The product provides • 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage.,The product provides • 10 meters / 33 feet of IR range for nighttime viewing • 30 - 90 days (256GB - 768GB) of onboard storage.,text_extraction_agent,raw_text,the product provides • 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage.,meters_feet_range_nighttime_viewing_days
The product provides • Redundant cloud backup and unlimited cloud-based.,The product provides • Redundant cloud backup and unlimited cloud-based.,text_extraction_agent,raw_text,the product provides • redundant cloud backup and unlimited cloud-based.,redundant_cloud_backup_unlimited_cloudbased
The product provides archiving of footage.,The product provides archiving of footage.,text_extraction_agent,raw_text,the product provides archiving of footage.,archiving_footage
The product provides essential detection Easy installation.,The product provides essential detection Easy installation.,text_extraction_agent,raw_text,the product provides essential detection easy installation.,essential_detection_easy_installation
The product provides • Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included.,The product provides • Onboard CV25S Ambarella processor enables people • Mounting plate and screw pack included.,text_extraction_agent,raw_text,the product provides • onboard cv25s ambarella processor enables people • mounting plate and screw pack included.,onboard_cv25s_ambarella_processor_enables_people
The product provides and vehicle detection • LED light status indicator.,The product provides and vehicle detection • LED light status indicator.,text_extraction_agent,raw_text,the product provides and vehicle detection • led light status indicator.,vehicle_detection_led_light_status_indicator
The product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,The product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,text_extraction_agent,raw_text,the product provides wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11.,wwwwwwvveerrkkaaddaaccoomm_10122254_ssaalleessvveerrkkaaddaaccoomm
The product provides cD22.,The product provides cD22.,text_extraction_agent,raw_text,the product provides cd22.,cd22
The product provides tech Specs.,The product provides tech Specs.,text_extraction_agent,raw_text,the product provides tech specs.,tech_specs
The product provides camera features.,The product provides camera features.,text_extraction_agent,raw_text,the product provides camera features.,features
"The product provides image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.","The product provides image Sensor 1 / 2.8"" Progressive CMOS Shutter Speed 1 / 30 sec. to 1 / 10,000 sec.",text_extraction_agent,raw_text,"the product provides image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec.",image_sensor_progressive_cmos_shutter_speed
The product provides sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function.,The product provides sensor Resolution1 3MP (2048 x 1536) Day/Night IR-cut fi lter for day and night function.,text_extraction_agent,raw_text,the product provides sensor resolution1 3mp (2048 x 1536) day/night ir-cut fi lter for day and night function.,sensor_resolution1_3mp_2048_1536_daynight
The product provides lens Type Fixed IR Cut Filter Yes.,The product provides lens Type Fixed IR Cut Filter Yes.,text_extraction_agent,raw_text,the product provides lens type fixed ir cut filter yes.,lens_type_fixed_cut_filter_yes
The product provides focal Length 2.8mm IR Range 10m / 33ft.,The product provides focal Length 2.8mm IR Range 10m / 33ft.,text_extraction_agent,raw_text,the product provides focal length 2.8mm ir range 10m / 33ft.,focal_length_28mm_range_10m_33ft
The product provides 0.009 lux @ F1.9 (Color).,The product provides 0.009 lux @ F1.9 (Color).,text_extraction_agent,raw_text,the product provides 0.009 lux @ f1.9 (color).,0009_lux_f19_color
