capability_label,feature,source_strategy,source_kind
The product provides the product provides 4MP 8MP.,The product provides the product provides 4MP 8MP.,table_extraction_agent,raw_table
The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,table_extraction_agent,raw_table
The product provides the product provides Primary.,The product provides the product provides Primary.,table_extraction_agent,raw_table
The product provides the product provides Secondary.,The product provides the product provides Secondary.,table_extraction_agent,raw_table
The product provides the product provides Tertiary.,The product provides the product provides Tertiary.,table_extraction_agent,raw_table
The product provides the product provides WDROff.,The product provides the product provides WDROff.,table_extraction_agent,raw_table
The product provides the product provides WDROn (IEC62676).,The product provides the product provides WDROn (IEC62676).,table_extraction_agent,raw_table
The product provides the product provides WDROn.,The product provides the product provides WDROn.,table_extraction_agent,raw_table
The product provides the product provides 4.4-9.3MM 10.9-29MM.,The product provides the product provides 4.4-9.3MM 10.9-29MM.,table_extraction_agent,raw_table
The product provides the product provides 4MP.,The product provides the product provides 4MP.,table_extraction_agent,raw_table
The product provides the product provides 8MP.,The product provides the product provides 8MP.,table_extraction_agent,raw_table
The product provides the product provides 4MP&8 MP.,The product provides the product provides 4MP&8 MP.,table_extraction_agent,raw_table
The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,The product provides the product provides SURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,table_extraction_agent,raw_table
The product provides the product provides Indoor Dome.,The product provides the product provides Indoor Dome.,table_extraction_agent,raw_table
The product provides the product provides Outdoor Dome.,The product provides the product provides Outdoor Dome.,table_extraction_agent,raw_table
The product provides the product provides PoE.,The product provides the product provides PoE.,table_extraction_agent,raw_table
The product provides the product provides INDOORDOME OUTDOORDOME.,The product provides the product provides INDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table
The product provides the product provides With External Poweror PoE+.,The product provides the product provides With External Poweror PoE+.,table_extraction_agent,raw_table
The product provides the product provides [X.XX] INCHES.,The product provides the product provides [X.XX] INCHES.,table_extraction_agent,raw_table
The product provides the product provides X.X MM.,The product provides the product provides X.X MM.,table_extraction_agent,raw_table
The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,The product provides the product provides MP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,table_extraction_agent,raw_table
The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides the product provides Datasheet 4MP 8MP.,The product provides the product provides Datasheet 4MP 8MP.,text_extraction_agent,raw_text
The product provides the product provides H6XP Dome Camera.,The product provides the product provides H6XP Dome Camera.,text_extraction_agent,raw_text
The product provides the product provides Flexibility And Compliance At Your Fingertips.,The product provides the product provides Flexibility And Compliance At Your Fingertips.,text_extraction_agent,raw_text
"The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.","The product provides the product provides CombinemultipleusecasesintoonewiththeAvigilonH6XPDomeCamera,empoweringyoutodomorewith.",text_extraction_agent,raw_text
"The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.","The product provides less.ItincludesanIoThubthatprovidescompatibilitywithZ-Wavedevices,suchasbuttonsandsensors,.",text_extraction_agent,raw_text
The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,text_extraction_agent,raw_text
The product provides the product provides Z-Wavecompatible AI-poweredvideoanalytics.,The product provides the product provides Z-Wavecompatible AI-poweredvideoanalytics.,text_extraction_agent,raw_text
The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,text_extraction_agent,raw_text
The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,text_extraction_agent,raw_text
"The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.","The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",text_extraction_agent,raw_text
The product provides the product provides costs.,The product provides the product provides costs.,text_extraction_agent,raw_text
The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,text_extraction_agent,raw_text
"The product provides the product provides Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.","The product provides the product provides Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.",text_extraction_agent,raw_text
"The product provides the product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.","The product provides the product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",text_extraction_agent,raw_text
The product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,The product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,text_extraction_agent,raw_text
The product provides the product provides Low-lightclarity.,The product provides the product provides Low-lightclarity.,text_extraction_agent,raw_text
The product provides the product provides Secure&Compliant.,The product provides the product provides Secure&Compliant.,text_extraction_agent,raw_text
The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,text_extraction_agent,raw_text
The product provides the product provides Trustthatyourdataiswell-protectedwithadvanced.,The product provides the product provides Trustthatyourdataiswell-protectedwithadvanced.,text_extraction_agent,raw_text
"The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.","The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.",text_extraction_agent,raw_text
The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,text_extraction_agent,raw_text
The product provides the product provides minimizingmaintenancewhileensuringconsistent.,The product provides the product provides minimizingmaintenancewhileensuringconsistent.,text_extraction_agent,raw_text
The product provides the product provides compliantTPMandSecureBoot.,The product provides the product provides compliantTPMandSecureBoot.,text_extraction_agent,raw_text
The product provides the product provides performanceinallconditions.,The product provides the product provides performanceinallconditions.,text_extraction_agent,raw_text
The product provides the product provides 1Separatelicenserequired.,The product provides the product provides 1Separatelicenserequired.,text_extraction_agent,raw_text
"The product provides the product provides Formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.","The product provides the product provides Formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",text_extraction_agent,raw_text
The product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,The product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,text_extraction_agent,raw_text
The product provides the product provides Specifications.,The product provides the product provides Specifications.,text_extraction_agent,raw_text
The product provides the product provides IMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,The product provides the product provides IMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,text_extraction_agent,raw_text
The product provides the product provides ImageSensor 1/1.8”progressivescanCMOS.,The product provides the product provides ImageSensor 1/1.8”progressivescanCMOS.,text_extraction_agent,raw_text
"The product provides the product provides MaxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.","The product provides the product provides MaxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",text_extraction_agent,raw_text
"The product provides the product provides (HxV)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.","The product provides the product provides (HxV)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.",text_extraction_agent,raw_text
The product provides the product provides AspectRatio.,The product provides the product provides AspectRatio.,text_extraction_agent,raw_text
"The product provides the product provides Secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.","The product provides the product provides Secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.",text_extraction_agent,raw_text
"The product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.","The product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.",text_extraction_agent,raw_text
"The product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.","The product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",text_extraction_agent,raw_text
"The product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.","The product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.",text_extraction_agent,raw_text
"The product provides the product provides Tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.","The product provides the product provides Tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.",text_extraction_agent,raw_text
"The product provides the product provides 384x216 288,384x216.","The product provides the product provides 384x216 288,384x216.",text_extraction_agent,raw_text
"The product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.","The product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",text_extraction_agent,raw_text
"The product provides the product provides 368x264 x480,512x384,384x288,368x264.","The product provides the product provides 368x264 x480,512x384,384x288,368x264.",text_extraction_agent,raw_text
The product provides the product provides DynamicRange WDROff Upto83dB.,The product provides the product provides DynamicRange WDROff Upto83dB.,text_extraction_agent,raw_text
"The product provides the product provides WDROn Upto106dB(dualexposure,30fps)Upto136dB Upto130dB(dualexposure,30fps).","The product provides the product provides WDROn Upto106dB(dualexposure,30fps)Upto136dB Upto130dB(dualexposure,30fps).",text_extraction_agent,raw_text
"The product provides the product provides (IEC62676) (tripleexposure,20fpsorless).","The product provides the product provides (IEC62676) (tripleexposure,20fpsorless).",text_extraction_agent,raw_text
"The product provides the product provides WDROn Upto120dB(dualexposure,30fps)Upto144dB Upto144dB(dualexposure,20fpsorless).","The product provides the product provides WDROn Upto120dB(dualexposure,30fps)Upto144dB Upto144dB(dualexposure,20fpsorless).",text_extraction_agent,raw_text
"The product provides the product provides (tripleexposure,20fpsorless).","The product provides the product provides (tripleexposure,20fpsorless).",text_extraction_agent,raw_text
The product provides the product provides MaxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,The product provides the product provides MaxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,text_extraction_agent,raw_text
"The product provides the product provides Mode1,otherwise25fps/30fps.","The product provides the product provides Mode1,otherwise25fps/30fps.",text_extraction_agent,raw_text
The product provides the product provides BandwidthManagement HDSMSmartCodectechnology;Idlescenemode.,The product provides the product provides BandwidthManagement HDSMSmartCodectechnology;Idlescenemode.,text_extraction_agent,raw_text
The product provides the product provides Signal-to-NoiseRatio(SNR) >50d.,The product provides the product provides Signal-to-NoiseRatio(SNR) >50d.,text_extraction_agent,raw_text
The product provides the product provides *Onlyavailableathalfframerateoftheprimarystream.,The product provides the product provides *Onlyavailableathalfframerateoftheprimarystream.,text_extraction_agent,raw_text
The product provides the product provides 1MaxFrameRateof60fpsisonlyachievablewithHighFrameRatemodeenabled.HighFrameRatemodewilldisableanalytics.,The product provides the product provides 1MaxFrameRateof60fpsisonlyachievablewithHighFrameRatemodeenabled.HighFrameRatemodewilldisableanalytics.,text_extraction_agent,raw_text
The product provides the product provides LENSANDIR 4.4-9.3MM 10.9-29MM.,The product provides the product provides LENSANDIR 4.4-9.3MM 10.9-29MM.,text_extraction_agent,raw_text
The product provides the product provides ILLUMINATION.,The product provides the product provides ILLUMINATION.,text_extraction_agent,raw_text
The product provides the product provides IRIlluminationMaxDistance2 50m(164ft)fulltele 70m(230ft)fulltele.,The product provides the product provides IRIlluminationMaxDistance2 50m(164ft)fulltele 70m(230ft)fulltele.,text_extraction_agent,raw_text
The product provides the product provides (highpower850nmLEDs) 25m(82ft)fullwide 40m(131ft)fullwide.,The product provides the product provides (highpower850nmLEDs) 25m(82ft)fullwide 40m(131ft)fullwide.,text_extraction_agent,raw_text
The product provides the product provides Minimum 4MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,The product provides the product provides Minimum 4MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,text_extraction_agent,raw_text
The product provides the product provides Illumination WithoutIR:0.003luxinmonochrome WithoutIR:0.004luxinmonochromemode;0.01luxincolormode.,The product provides the product provides Illumination WithoutIR:0.003luxinmonochrome WithoutIR:0.004luxinmonochromemode;0.01luxincolormode.,text_extraction_agent,raw_text
The product provides the product provides mode;0.008luxincolormode.,The product provides the product provides mode;0.008luxincolormode.,text_extraction_agent,raw_text
The product provides the product provides 8MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,The product provides the product provides 8MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,text_extraction_agent,raw_text
The product provides the product provides WithoutIR:0.006luxinmonochrome WithoutIR:0.008luxinmonochromemode;0.03luxincolormode.,The product provides the product provides WithoutIR:0.006luxinmonochrome WithoutIR:0.008luxinmonochromemode;0.03luxincolormode.,text_extraction_agent,raw_text
The product provides the product provides mode;0.02luxincolormode.,The product provides the product provides mode;0.02luxincolormode.,text_extraction_agent,raw_text
The product provides the product provides HorizontalAngle 4MP (16:9)47°–111° (16:9)15°–42°.,The product provides the product provides HorizontalAngle 4MP (16:9)47°–111° (16:9)15°–42°.,text_extraction_agent,raw_text
The product provides the product provides ofViewBasedon (4:3)35°–78° (4:3)11°–31°.,The product provides the product provides ofViewBasedon (4:3)35°–78° (4:3)11°–31°.,text_extraction_agent,raw_text
The product provides the product provides 8MP (16:9)47°–109° (16:9)15°–42°.,The product provides the product provides 8MP (16:9)47°–109° (16:9)15°–42°.,text_extraction_agent,raw_text
The product provides the product provides (4:3)35°–78° (4:3)11°–31°.,The product provides the product provides (4:3)35°–78° (4:3)11°–31°.,text_extraction_agent,raw_text
The product provides the product provides VerticalAngleof 4MP&8 (16:9)26°–57° (16:9)9°–23°.,The product provides the product provides VerticalAngleof 4MP&8 (16:9)26°–57° (16:9)9°–23°.,text_extraction_agent,raw_text
The product provides the product provides ViewBasedon MP (4:3)26°–57° (4:3)9°–23°.,The product provides the product provides ViewBasedon MP (4:3)26°–57° (4:3)9°–23°.,text_extraction_agent,raw_text
The product provides the product provides MaxAperture F1.3 F1.7.,The product provides the product provides MaxAperture F1.3 F1.7.,text_extraction_agent,raw_text
"The product provides the product provides Control RemoteZoomandFocus,Autofocus,IRCutFilter.","The product provides the product provides Control RemoteZoomandFocus,Autofocus,IRCutFilter.",text_extraction_agent,raw_text
The product provides the product provides 2IRilluminationpowermaybereducedathigheroperatingtemperatures.,The product provides the product provides 2IRilluminationpowermaybereducedathigheroperatingtemperatures.,text_extraction_agent,raw_text
The product provides the product provides IMAGECONTROL.,The product provides the product provides IMAGECONTROL.,text_extraction_agent,raw_text
"The product provides the product provides ImageCompressionMethod H.264HDSMSmartCodec,H.265HDSMSmartCodec,MotionJPEG.","The product provides the product provides ImageCompressionMethod H.264HDSMSmartCodec,H.265HDSMSmartCodec,MotionJPEG.",text_extraction_agent,raw_text
"The product provides the product provides Streaming Multi-streamH.264,Multi-streamH.265,MotionJPEG.","The product provides the product provides Streaming Multi-streamH.264,Multi-streamH.265,MotionJPEG.",text_extraction_agent,raw_text
The product provides the product provides MotionDetection Pixelmotion:Selectablesensitivityandthreshold.Classifiedobjectdetection.,The product provides the product provides MotionDetection Pixelmotion:Selectablesensitivityandthreshold.Classifiedobjectdetection.,text_extraction_agent,raw_text
The product provides the product provides CameraTamperDetection Yes.,The product provides the product provides CameraTamperDetection Yes.,text_extraction_agent,raw_text
"The product provides the product provides ElectronicShutterControl Automatic,Manual(1/7.5to1/15000sec).","The product provides the product provides ElectronicShutterControl Automatic,Manual(1/7.5to1/15000sec).",text_extraction_agent,raw_text
"The product provides the product provides IrisControl Automatic,Open,Closed,P-iris.","The product provides the product provides IrisControl Automatic,Open,Closed,P-iris.",text_extraction_agent,raw_text
"The product provides the product provides Day/NightControl Automatic,Manual,External.","The product provides the product provides Day/NightControl Automatic,Manual,External.",text_extraction_agent,raw_text
"The product provides the product provides FlickerControl 60Hz,50Hz.","The product provides the product provides FlickerControl 60Hz,50Hz.",text_extraction_agent,raw_text
"The product provides the product provides WhiteBalance Automatic,Manual.","The product provides the product provides WhiteBalance Automatic,Manual.",text_extraction_agent,raw_text
The product provides the product provides BacklightCompensation Adjustable.,The product provides the product provides BacklightCompensation Adjustable.,text_extraction_agent,raw_text
"The product provides the product provides ImageRotation 0°,90°,180°,270°includingCorridorMode.","The product provides the product provides ImageRotation 0°,90°,180°,270°includingCorridorMode.",text_extraction_agent,raw_text
The product provides the product provides PrivacyZones Upto64zones.,The product provides the product provides PrivacyZones Upto64zones.,text_extraction_agent,raw_text
The product provides the product provides ElectronicImageStabilization Yes.,The product provides the product provides ElectronicImageStabilization Yes.,text_extraction_agent,raw_text
The product provides the product provides NETWORK.,The product provides the product provides NETWORK.,text_extraction_agent,raw_text
"The product provides the product provides Network 100BASE-TXforH6A,1000BASE-TforH6X.","The product provides the product provides Network 100BASE-TXforH6A,1000BASE-TforH6X.",text_extraction_agent,raw_text
The product provides the product provides Cabling CAT5e.,The product provides the product provides Cabling CAT5e.,text_extraction_agent,raw_text
The product provides the product provides Connector RJ-45.,The product provides the product provides Connector RJ-45.,text_extraction_agent,raw_text
"The product provides the product provides ONVIF ONVIF®complianceProfileS,ProfileT,ProfileMandProfileG(www.onvif.org).","The product provides the product provides ONVIF ONVIF®complianceProfileS,ProfileT,ProfileMandProfileG(www.onvif.org).",text_extraction_agent,raw_text
"The product provides the product provides Security Passwordprotection,HTTPSencryption,digestauthentication,WSauthentication,useraccesslog,802.1xportbased.","The product provides the product provides Security Passwordprotection,HTTPSencryption,digestauthentication,WSauthentication,useraccesslog,802.1xportbased.",text_extraction_agent,raw_text
"The product provides the product provides authentication,FIPS140-2L1(withoptionalcameralicense),onboardFIPS140-2L3certifiedTPM,SecureBoot,Signed.","The product provides the product provides authentication,FIPS140-2L1(withoptionalcameralicense),onboardFIPS140-2L3certifiedTPM,SecureBoot,Signed.",text_extraction_agent,raw_text
The product provides the product provides andencryptedfirmware.,The product provides the product provides andencryptedfirmware.,text_extraction_agent,raw_text
"The product provides the product provides Protocols IPv6,IPv4,HTTP,HTTPS,SOAP,DNS,NTP,RTSP,RTCP,RTP,TCP,UDP,IGMPv3,ICMP,DHCP,Zeroconf,HSTS,QoS,.","The product provides the product provides Protocols IPv6,IPv4,HTTP,HTTPS,SOAP,DNS,NTP,RTSP,RTCP,RTP,TCP,UDP,IGMPv3,ICMP,DHCP,Zeroconf,HSTS,QoS,.",text_extraction_agent,raw_text
The product provides the product provides DSCP.,The product provides the product provides DSCP.,text_extraction_agent,raw_text
"The product provides the product provides StreamingProtocols RTP/UDP,RTP/UDPmulticast,RTP/RTSP/TCP,RTP/RTSP/HTTP/TCP,RTP/RTSP/HTTPS/TCP,HTTP,SRTP.","The product provides the product provides StreamingProtocols RTP/UDP,RTP/UDPmulticast,RTP/RTSP/TCP,RTP/RTSP/HTTP/TCP,RTP/RTSP/HTTPS/TCP,HTTP,SRTP.",text_extraction_agent,raw_text
"The product provides the product provides DeviceManagement SNMPv2c,SNMPv3.","The product provides the product provides DeviceManagement SNMPv2c,SNMPv3.",text_extraction_agent,raw_text
The product provides the product provides Protocols.,The product provides the product provides Protocols.,text_extraction_agent,raw_text
The product provides the product provides PERIPHERALS.,The product provides the product provides PERIPHERALS.,text_extraction_agent,raw_text
The product provides the product provides USBPort USB2.0.,The product provides the product provides USBPort USB2.0.,text_extraction_agent,raw_text
The product provides the product provides OnboardStorage3 TwomicroSD/microSDHC/microSDXCslots–videospeedclasscardrequired.ClassV10orbetterrecommended.,The product provides the product provides OnboardStorage3 TwomicroSD/microSDHC/microSDXCslots–videospeedclasscardrequired.ClassV10orbetterrecommended.,text_extraction_agent,raw_text
The product provides the product provides 3Testedmaximumcapacityis1.5TB.,The product provides the product provides 3Testedmaximumcapacityis1.5TB.,text_extraction_agent,raw_text
The product provides the product provides AUXILIARYI/O.,The product provides the product provides AUXILIARYI/O.,text_extraction_agent,raw_text
"The product provides the product provides AudioCompressionMethod G.711PCM8kHz,Opus.","The product provides the product provides AudioCompressionMethod G.711PCM8kHz,Opus.",text_extraction_agent,raw_text
The product provides the product provides AudioInput/Output Linelevelinputandoutput.,The product provides the product provides AudioInput/Output Linelevelinputandoutput.,text_extraction_agent,raw_text
