capability_label,feature,source_strategy,source_kind,normalized_feature,feature_key
The product provides the product provides 3.6mmlens DORIdefinition Distance.,The product provides the product provides 3.6mmlens DORIdefinition Distance.,table_extraction_agent,raw_table,the product provides the product provides 3.6mmlens doridefinition distance.,36mmlens_doridefinition_distance
The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,table_extraction_agent,raw_table,the product provides the product provides detect 25px/m(8px/ft) 50.6m(166.0ft).,detect_25pxm8pxft_506m1660ft
The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,table_extraction_agent,raw_table,the product provides the product provides observe 63px/m(19px/ft) 20.1m(65.9ft).,observe_63pxm19pxft_201m659ft
The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,table_extraction_agent,raw_table,the product provides the product provides recognize 125px/m(38px/ft) 10.1m(33.1ft).,recognize_125pxm38pxft_101m331ft
The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,table_extraction_agent,raw_table,the product provides the product provides identify 250px/m(76px/ft) 5.1m(16.7ft).,identify_250pxm76pxft_51m167ft
The product provides the product provides 2.8mmlens DORIdefinition Distance.,The product provides the product provides 2.8mmlens DORIdefinition Distance.,table_extraction_agent,raw_table,the product provides the product provides 2.8mmlens doridefinition distance.,28mmlens_doridefinition_distance
The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,table_extraction_agent,raw_table,the product provides the product provides detect 25px/m(8px/ft) 21.1m(69.2ft).,detect_25pxm8pxft_211m692ft
The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,table_extraction_agent,raw_table,the product provides the product provides observe 63px/m(19px/ft) 7.4m(24.3ft).,observe_63pxm19pxft_74m243ft
The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,table_extraction_agent,raw_table,the product provides the product provides recognize 125px/m(38px/ft) 4.2m(13.8ft).,recognize_125pxm38pxft_42m138ft
The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,table_extraction_agent,raw_table,the product provides the product provides identify 250px/m(76px/ft) 2.1m(6.9ft).,identify_250pxm76pxft_21m69ft
The product provides the product provides Datasheet.,The product provides the product provides Datasheet.,text_extraction_agent,raw_text,the product provides the product provides datasheet.,datasheet
The product provides the product provides AXISM3905-RDomeCamera.,The product provides the product provides AXISM3905-RDomeCamera.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rdomecamera.,axism3905rdomecamera
The product provides the product provides AXIS M3905-R Dome Camera.,The product provides the product provides AXIS M3905-R Dome Camera.,text_extraction_agent,raw_text,the product provides the product provides axis m3905-r dome camera.,axis_m3905r_dome
The product provides the product provides For indoor surveillance onboard buses.,The product provides the product provides For indoor surveillance onboard buses.,text_extraction_agent,raw_text,the product provides the product provides for indoor surveillance onboard buses.,indoor_surveillance_onboard_buses
The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,The product provides the product provides This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry.,text_extraction_agent,raw_text,the product provides the product provides this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry.,compact_discreet_onboard_indoor_surveillance_complies
"The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.","The product provides the product provides regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,.",text_extraction_agent,raw_text,"the product provides the product provides regulations including fire-safety for buses. it can withstand vibrations and a wide range of temperatures. additionally,.",regulations_including_firesafety_buses_can_withstand
The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,The product provides the product provides with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and.,text_extraction_agent,raw_text,the product provides the product provides with axis tp3826-e housing this dome camera can be mounted on the outside of a bus. thanks to lightfinder and.,axis_tp3826e_housing_dome_can_mounted
"The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.","The product provides forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the.",text_extraction_agent,raw_text,"the product provides forensic wdr, it provides details even in challenging light conditions. with traffic light mode, it can distinguish the.",forensic_wdr_details_even_challenging_light
The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,The product provides the product provides coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,text_extraction_agent,raw_text,the product provides the product provides coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring.,coloroftrafficlightsindarkscenesoptionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring
The product provides the product provides purposes.,The product provides the product provides purposes.,text_extraction_agent,raw_text,the product provides the product provides purposes.,purposes
"The product provides the product provides > Compact,ruggeddesign.","The product provides the product provides > Compact,ruggeddesign.",text_extraction_agent,raw_text,"the product provides the product provides > compact,ruggeddesign.",compactruggeddesign
The product provides the product provides > Indoorcamera.,The product provides the product provides > Indoorcamera.,text_extraction_agent,raw_text,the product provides the product provides > indoorcamera.,indoorcamera
The product provides the product provides > 88°Horizontalfieldofview.,The product provides the product provides > 88°Horizontalfieldofview.,text_extraction_agent,raw_text,the product provides the product provides > 88°horizontalfieldofview.,88horizontalfieldofview
The product provides the product provides > LightfinderandForensicWDR.,The product provides the product provides > LightfinderandForensicWDR.,text_extraction_agent,raw_text,the product provides the product provides > lightfinderandforensicwdr.,lightfinderandforensicwdr
The product provides the product provides > TrafficLightmode.,The product provides the product provides > TrafficLightmode.,text_extraction_agent,raw_text,the product provides the product provides > trafficlightmode.,trafficlightmode
The product provides the product provides Variants.,The product provides the product provides Variants.,text_extraction_agent,raw_text,the product provides the product provides variants.,variants
The product provides the product provides Video.,The product provides the product provides Video.,text_extraction_agent,raw_text,the product provides the product provides video.,video
The product provides the product provides AXISM3905-RRJ453.6mm.,The product provides the product provides AXISM3905-RRJ453.6mm.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rrj453.6mm.,axism3905rrj4536mm
The product provides the product provides AXISM3905-RM123.6mm.,The product provides the product provides AXISM3905-RM123.6mm.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rm123.6mm.,axism3905rm1236mm
The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,The product provides the product provides AXISM3905-RRJ452.8mm Videocompression.,text_extraction_agent,raw_text,the product provides the product provides axism3905-rrj452.8mm videocompression.,axism3905rrj4528mm_videocompression
